Symbol;OrderId;ClientId;ClientOrderId;Status;Type;Side;Price;Gain;Quantity;Commission;tradeId;transactDate;transactTime;Timestamp
ETHUSDT;15493674470;1;obz466qnlHjnTSc3ECafvE;FILLED;MARKET;BUY;2549.75;0.0;0.0392;0.00024459;1275930925;2024-01-11;00:00:14;1704927614046
ETHUSDT;15634712091;1;OMxOxaqzHqwOFZSCP98sgM;FILLED;MARKET;SELL;2468.79;-3.1655360000000017;0.0391;0.00023159;1285221357;2024-01-19;00:00:11;1705618811939
ETHUSDT;15921129263;1;00ZPjs7p8NpwteKrmA70FQ;FILLED;MARKET;BUY;2494.41;0.0;0.0386;0.0002232;1301466230;2024-02-10;00:00:18;1707519618096
ETHUSDT;15924198783;1;rJ7Y3FwpwfsV6RsSLkKv3a;FILLED;MARKET;SELL;2497.36;0.1138700000000105;0.0386;0.00022335;1301689230;2024-02-10;09:13:32;1707552812416
BTCUSDT;24795918149;1;IjS1f7Tq5awStxnh8TyYXy;FILLED;MARKET;BUY;47852.13;0.0;0.00208;0.00023055;3410616881;2024-02-11;00:00:09;1707606009843
ETHUSDT;15929454866;1;siRUd2XcIzOmXHUyDTHkbh;FILLED;MARKET;BUY;2497.6;0.0;0.0386;0.00022354;1302091319;2024-02-11;00:00:17;1707606017313
CTSIUSDT;697847327;1;fUFYDIsnJqYjSKu9mY4gVr;FILLED;MARKET;BUY;0.2866;0.0;349.0;0.00023217;43722023;2024-02-11;00:00:27;1707606027353
SOLUSDT;5032081781;1;CpKzUv0PwmrnGRTxJCDpep;FILLED;MARKET;BUY;109.52;0.0;0.91;0.00023095;458815141;2024-02-11;00:00:32;1707606032079
CTSIUSDT;698503534;1;XuTFoqxSOj1AcddiWAWncU;FILLED;MARKET;SELL;0.2777;-3.0972000000000066;348.0;0.00022593;43739350;2024-02-12;00:00:20;1707692420172
CTSIUSDT;700998832;1;YYItBnlONtjAxiUYmwPLM8;FILLED;MARKET;BUY;0.3078;0.0;313.0;0.00022197;43900287;2024-02-14;00:00:21;1707865221013
CTSIUSDT;703582678;1;lfZuaTMOQzQeLTVURO1WhL;FILLED;MARKET;SELL;0.3003;-2.347500000000002;313.0;0.00019618;44024183;2024-02-17;00:00:18;1708124418653
AUDIOUSDT;713032139;1;LRGGTYMC83JSGTXltRv9vQ;FILLED;MARKET;BUY;0.2438;0.0;410.1;0.00021258;50374536;2024-02-18;00:00:10;1708210810093
SOLUSDT;5081315484;1;vZO2Ka7LxfjtWuy9D1fHKJ;FILLED;MARKET;SELL;109.17000000;-0.3149999999999949;0.9;0.0002088;462677230;2024-02-18;00:00:26;1708210826888
