Crypto;Symbol;Quantity;Current_Price;Price_Buy;Quantity_USDT
USDT;USDT;1500;;0;1500.0
Avalanche;AVAXUSDT;0;35.7;0;100.0
Cardano;ADAUSDT;0;0.536;0;100.0
Audius;AUDIOUSDT;0;0.1958;0;100.0
Bitcoin;BTCUSDT;0;46865.43;0;100.0
MultiversX;EGLDUSDT;0;55.11;0;100.0
Holo;HOTUSDT;0;0.00208;0;100.0
Ethereum;ETHUSDT;0;2336.16;0;100.0
Fetch.ai;FETUSDT;0;0.6705;0;100.0
Injective;INJUSDT;0;42.611;0;100.0
OmiseGO;OMGUSDT;0;0.7;0;100.0
Harmony;ONEUSDT;0;0.01692;0;100.0
Thorchain;RUNEUSDT;0;4.898;0;100.0
Oasis Network;ROSEUSDT;0;0.12186;0;100.0
Cartesi;CTSIUSDT;0;0.2014;0;100.0
Solana;SOLUSDT;0;96.52;0;100.0
